balance,avg_spend,history_len,dummy1,dummy2,target_spend
36268,676,6,0,0,1464.3600000000001
9084,433,14,0,0,879.6800000000001
28824,635,50,0,0,1248.48
36027,773,5,0,0,1663.54
27678,506,17,0,0,1319.56
24920,633,11,0,0,1620.4
13203,595,34,0,0,1357.06
38911,503,21,0,0,1184.22
11950,426,15,0,0,659.0
33896,369,34,0,0,1035.92
5983,630,21,0,0,1110.6599999999999
27318,753,43,0,0,1382.3600000000001
44717,635,45,0,0,1814.3400000000001
47004,506,5,0,0,1368.08
44408,432,37,0,0,1650.1599999999999
29277,466,36,0,0,1264.54
5543,708,24,0,0,840.86
19803,551,46,0,0,1301.06
16312,381,14,0,0,820.24
8532,631,31,0,0,807.64
47067,550,17,0,0,1444.3400000000001
10786,772,31,0,0,1277.72
34907,384,43,0,0,1096.1399999999999
30820,747,43,0,0,1558.4
35388,401,10,0,0,1143.76
36213,654,43,0,0,1298.26
29426,488,22,0,0,1488.52
32144,624,49,0,0,1759.88
15362,592,31,0,0,811.24
27040,491,11,0,0,1044.8
25599,300,24,0,0,860.98
43879,772,25,0,0,2000.58
48158,739,49,0,0,1755.1599999999999
41881,726,17,0,0,1620.62
23547,614,23,0,0,1083.94
6248,689,12,0,0,786.96
27415,354,32,0,0,1199.3000000000002
45034,432,9,0,0,1805.68
13718,526,41,0,0,1025.3600000000001
12535,581,40,0,0,858.7
40954,615,36,0,0,1437.08
36651,659,38,0,0,1357.02
45745,512,36,0,0,1903.9
30694,423,34,0,0,1193.88
43265,476,21,0,0,1653.3000000000002
37653,669,28,0,0,1525.06
48903,758,24,0,0,2018.06
46656,356,26,0,0,1448.12
26473,739,21,0,0,1207.46
11617,502,24,0,0,989.34
47989,348,35,0,0,1583.78
35283,513,18,0,0,1256.6599999999999
43447,673,15,0,0,1902.94
39523,644,44,0,0,1828.46
19806,790,17,0,0,1179.12
35849,320,7,0,0,1385.98
46902,621,40,0,0,1882.04
14397,304,29,0,0,783.94
10725,703,21,0,0,1059.5
34146,486,44,0,0,1353.92
49956,339,18,0,0,1399.12
26310,669,36,0,0,1297.2
10593,762,26,0,0,1454.8600000000001
37307,743,5,0,0,1701.1399999999999
43028,329,45,0,0,1304.56
42657,496,33,0,0,1708.1399999999999
15577,448,40,0,0,807.54
38120,662,24,0,0,1924.4
17915,685,30,0,0,1047.3
41856,758,31,0,0,1903.12
32053,442,34,0,0,1076.06
17209,657,49,0,0,965.1800000000001
35252,696,5,0,0,1832.04
23833,755,46,0,0,1491.66
12160,672,25,0,0,1061.2
24038,651,22,0,0,1358.76
43937,623,24,0,0,1839.74
49952,471,17,0,0,1621.04
7064,490,29,0,0,1068.28
5366,680,23,0,0,941.32
24682,721,16,0,0,1216.6399999999999
35372,510,46,0,0,1283.44
9712,586,12,0,0,1144.24
25183,445,8,0,0,881.6600000000001
47882,764,49,0,0,2023.6399999999999
23784,335,42,0,0,876.6800000000001
5160,333,39,0,0,721.2
48616,783,38,0,0,1669.3200000000002
40351,446,32,0,0,1430.02
25166,761,41,0,0,1402.32
30268,452,40,0,0,1287.3600000000001
41517,533,40,0,0,1842.3400000000001
31539,753,48,0,0,1670.78
23529,504,9,0,0,1048.58
35709,449,36,0,0,1212.18
27656,401,23,0,0,972.12
30834,507,12,0,0,1036.68
28495,476,47,0,0,1022.9000000000001
41762,403,38,0,0,1631.24
18081,776,48,0,0,1490.62
34324,376,41,0,0,1423.48
45591,502,16,0,0,1696.8200000000002
15114,321,37,0,0,890.28
37681,399,35,0,0,1649.62
13116,741,18,0,0,1268.32
44912,426,12,0,0,1788.24
33941,483,12,0,0,1395.8200000000002
8165,483,26,0,0,928.3
35669,519,7,0,0,1400.38
26716,685,35,0,0,1224.3200000000002
11097,460,13,0,0,773.94
33839,492,19,0,0,1382.78
6633,672,48,0,0,976.66
44709,368,48,0,0,1230.18
30701,557,14,0,0,1168.02
39681,780,11,0,0,2018.62
26146,747,48,0,0,1633.92
34350,590,41,0,0,1252.0
48590,589,50,0,0,1967.8000000000002
25405,700,21,0,0,1627.1
47618,405,15,0,0,1443.3600000000001
41234,768,43,0,0,1509.68
8379,687,37,0,0,1327.58
10341,415,37,0,0,839.8199999999999
47545,384,31,0,0,1364.9
34193,517,25,0,0,1389.8600000000001
20478,556,18,0,0,918.56
46728,405,14,0,0,1404.56
43662,318,48,0,0,1451.24
44154,761,50,0,0,2055.08
27444,385,19,0,0,930.88
42436,508,18,0,0,1497.72
49711,634,17,0,0,2125.2200000000003
14239,484,45,0,0,955.78
25911,309,27,0,0,1081.22
31129,678,31,0,0,1467.58
11487,681,17,0,0,1272.74
28211,512,33,0,0,1479.22
8438,669,40,0,0,1065.76
32567,779,45,0,0,1865.3400000000001
15347,350,6,0,0,961.94
38768,607,5,0,0,1873.3600000000001
41692,668,28,0,0,1798.8400000000001
40356,334,43,0,0,1108.12
19682,633,8,0,0,1108.6399999999999
28668,532,19,0,0,1486.3600000000001
21093,787,38,0,0,1307.8600000000001
49045,449,47,0,0,1675.9
10623,606,45,0,0,890.46
12862,590,25,0,0,1069.24
45516,521,18,0,0,1454.3200000000002
43458,362,35,0,0,1211.1599999999999
20642,441,8,0,0,941.84
15515,789,8,0,0,1224.3
30006,312,6,0,0,1215.12
41639,613,10,0,0,1675.78
41335,585,47,0,0,1460.7
9392,513,25,0,0,740.84
19105,467,29,0,0,1060.1
18987,639,27,0,0,1136.74
11944,393,8,0,0,718.88
32943,473,47,0,0,1178.8600000000001
27676,416,38,0,0,1098.52
8479,483,39,0,0,734.58
10625,489,27,0,0,785.5
26003,411,43,0,0,1335.06
44473,411,14,0,0,1271.46
28661,559,48,0,0,1247.22
30693,632,28,0,0,1224.8600000000001
33720,633,28,0,0,1238.4
19180,783,35,0,0,1501.6
23422,719,39,0,0,1265.44
21986,361,49,0,0,776.72
35987,329,30,0,0,1215.74
37363,688,7,0,0,1796.26
24032,561,23,0,0,1142.6399999999999
24098,716,26,0,0,1123.96
16489,656,24,0,0,1297.78
13091,564,23,0,0,863.8199999999999
48013,764,44,0,0,2124.26
12740,619,45,0,0,929.8
41962,648,23,0,0,1722.24
20167,738,26,0,0,1445.3400000000001
33987,412,12,0,0,1359.74
25492,585,43,0,0,1021.8400000000001
20867,405,48,0,0,1044.3400000000001
32844,778,14,0,0,1853.88
14452,470,36,0,0,973.04
33564,723,39,0,0,1303.28
14913,563,24,0,0,989.26
15608,670,42,0,0,1082.16
33788,327,8,0,0,1208.76
9599,628,44,0,0,735.98
17421,798,14,0,0,1460.42
31227,589,39,0,0,1392.54
21833,439,10,0,0,1372.66
34525,463,26,0,0,1533.5
41284,520,22,0,0,1618.68
40838,439,13,0,0,1578.76
48733,629,32,0,0,2057.66
33003,687,50,0,0,1595.06
30227,631,29,0,0,1269.54
8873,605,14,0,0,1214.46
23907,785,44,0,0,1226.1399999999999
39854,671,40,0,0,1827.08
30611,338,31,0,0,1024.22
14137,505,23,0,0,770.74
30578,346,34,0,0,1281.56
26189,730,11,0,0,1728.78
37279,407,28,0,0,1324.58
34798,722,15,0,0,1392.96
12780,509,50,0,0,791.6
46068,478,27,0,0,1722.3600000000001
32268,650,22,0,0,1480.3600000000001
28730,433,28,0,0,955.6
32414,453,48,0,0,1572.28
29640,549,31,0,0,1092.8000000000002
43986,676,22,0,0,1706.72
34807,350,42,0,0,1070.1399999999999
21994,583,35,0,0,1308.88
19773,800,28,0,0,1307.46
44012,630,20,0,0,1784.24
26639,737,40,0,0,1224.78
6646,680,34,0,0,893.9200000000001
23952,664,25,0,0,1078.04
30666,400,5,0,0,1157.3200000000002
21149,489,36,0,0,1328.98
16489,722,27,0,0,985.78
29013,504,50,0,0,986.26
22940,652,15,0,0,1347.8
18380,324,41,0,0,857.6
20370,781,35,0,0,1644.4
47116,400,8,0,0,1437.3200000000002
48070,785,37,0,0,1703.4
10217,676,15,0,0,988.34
22298,427,30,0,0,1008.96
11750,547,24,0,0,1119.0
20264,525,8,0,0,1141.28
18205,451,35,0,0,969.1
40895,458,28,0,0,1600.9
41464,304,29,0,0,1088.28
33102,426,32,0,0,1133.04
6968,749,29,0,0,1328.3600000000001
46882,441,33,0,0,1470.6399999999999
23712,462,48,0,0,1362.24
15547,593,8,0,0,1242.94
9647,467,47,0,0,800.94
24242,751,22,0,0,1421.8400000000001
20883,342,47,0,0,797.6600000000001
36699,723,25,0,0,1937.98
